East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1964   29     1934    0.10335
1964   30     1934    0.09995
1964   30     1933    0.09373
1964   31     1933    0.09000
1964   31     1932    0.08155
1964   32     1932    0.07785
1964   32     1931    0.07109
1964   33     1931    0.06774
1964   33     1930    0.06110
1964   34     1930    0.05807
1964   34     1929    0.05239
1964   35     1929    0.04971
1964   35     1928    0.04460
1964   36     1928    0.04226
1964   36     1927    0.03792
1964   37     1927    0.03569
1964   37     1926    0.03116
1964   38     1926    0.02909
1964   38     1925    0.02521
1964   39     1925    0.02330
1964   39     1924    0.01957
1964   40     1924    0.01787
1964   40     1923    0.01473
1964   41     1923    0.01326
1964   41     1922    0.01055
1964   42     1922    0.00931
1964   42     1921    0.00707
1964   43     1921    0.00612
1964   43     1920    0.00445
1964   44     1920    0.00376
1964   44     1919    0.00268
1964   45     1919    0.00193
1964   45     1918    0.00078
1964   46     1918    0.00058
1964   46     1917    0.00036
1964   47     1917    0.00028
1964   47     1916    0.00018
1964   48     1916    0.00014
1964   48     1915    0.00009
1964   49     1915    0.00007
1964   49     1914    0.00005
1964   50     1914    0.00004
1964   50     1913    0.00003
1964   51     1913    0.00002
1964   51     1912    0.00001
1964   52     1912    0.00001
1964   52     1911    0.00001
1964   53     1911    0.00001
1964   53     1910    0.00000
1964   54     1910    0.00000
1964   54     1909    0.00000
1964   55+       .    0.00000
1965   12-       .    0.00000
1965   13     1952    0.00000
1965   13     1951    0.00000
1965   14     1951    0.00000
1965   14     1950    0.00020
1965   15     1950    0.00143
1965   15     1949    0.00451
1965   16     1949    0.00680
1965   16     1948    0.02131
1965   17     1948    0.03298
1965   17     1947    0.06336
1965   18     1947    0.08261
1965   18     1946    0.12592
1965   19     1946    0.14590
1965   19     1945    0.17456
1965   20     1945    0.18445
1965   20     1944    0.19204
1965   21     1944    0.19332
1965   21     1943    0.19261
1965   22     1943    0.19037
1965   22     1942    0.18350
1965   23     1942    0.18044
1965   23     1941    0.17590
