West Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1964   20     1943    0.12282
1964   21     1943    0.12940
1964   21     1942    0.14431
1964   22     1942    0.15058
1964   22     1941    0.16106
1964   23     1941    0.16544
1964   23     1940    0.17253
1964   24     1940    0.17480
1964   24     1939    0.17673
1964   25     1939    0.17691
1964   25     1938    0.17576
1964   26     1938    0.17418
1964   26     1937    0.16935
1964   27     1937    0.16602
1964   27     1936    0.15747
1964   28     1936    0.15344
1964   28     1935    0.14560
1964   29     1935    0.14157
1964   29     1934    0.13346
1964   30     1934    0.12921
1964   30     1933    0.12042
1964   31     1933    0.11599
1964   31     1932    0.10697
1964   32     1932    0.10264
1964   32     1931    0.09437
1964   33     1931    0.09000
1964   33     1930    0.08084
1964   34     1930    0.07692
1964   34     1929    0.06991
1964   35     1929    0.06650
1964   35     1928    0.05986
1964   36     1928    0.05679
1964   36     1927    0.05103
1964   37     1927    0.04816
1964   37     1926    0.04261
1964   38     1926    0.03969
1964   38     1925    0.03360
1964   39     1925    0.03122
1964   39     1924    0.02729
1964   40     1924    0.02515
1964   40     1923    0.02086
1964   41     1923    0.01879
1964   41     1922    0.01484
1964   42     1922    0.01309
1964   42     1921    0.01005
1964   43     1921    0.00850
1964   43     1920    0.00569
1964   44     1920    0.00477
1964   44     1919    0.00341
1964   45     1919    0.00273
1964   45     1918    0.00161
1964   46     1918    0.00125
1964   46     1917    0.00077
1964   47     1917    0.00054
1964   47     1916    0.00022
1964   48     1916    0.00017
1964   48     1915    0.00013
1964   49     1915    0.00007
1964   49     1914    0.00001
1964   50     1914    0.00001
1964   50     1913    0.00001
1964   51     1913    0.00001
1964   51     1912    0.00000
1964   52     1912    0.00000
1964   52     1911    0.00000
1964   53     1911    0.00000
1964   53     1910    0.00000
1964   54     1910    0.00000
1964   54     1909    0.00000
1964   55+       .    0.00000
1965   12-       .    0.00001
1965   13     1952    0.00006
1965   13     1951    0.00013
1965   14     1951    0.00018
1965   14     1950    0.00063
1965   15     1950    0.00111
1965   15     1949    0.00389
1965   16     1949    0.00673
1965   16     1948    0.01689
1965   17     1948    0.02476
1965   17     1947    0.04482
1965   18     1947    0.05676
1965   18     1946    0.08095
1965   19     1946    0.09217
1965   19     1945    0.10935
1965   20     1945    0.11683
1965   20     1944    0.12871
1965   21     1944    0.13430
1965   21     1943    0.14635
1965   22     1943    0.15082
1965   22     1942    0.15680
1965   23     1942    0.15981
1965   23     1941    0.16627
1965   24     1941    0.16850
1965   24     1940    0.17143
1965   25     1940    0.17199
1965   25     1939    0.17150
1965   26     1939    0.17005
1965   26     1938    0.16478
1965   27     1938    0.16178
1965   27     1937    0.15510
1965   28     1937    0.15095
1965   28     1936    0.14099
1965   29     1936    0.13680
1965   29     1935    0.12972
1965   30     1935    0.12546
1965   30     1934    0.11584
1965   31     1934    0.11158
1965   31     1933    0.10381
1965   32     1933    0.09972
1965   32     1932    0.09137
1965   33     1932    0.08726
1965   33     1931    0.07913
1965   34     1931    0.07518
1965   34     1930    0.06728
1965   35     1930    0.06399
1965   35     1929    0.05838
1965   36     1929    0.05528
1965   36     1928    0.04871
1965   37     1928    0.04587
1965   37     1927    0.04076
1965   38     1927    0.03816
1965   38     1926    0.03298
1965   39     1926    0.03059
1965   39     1925    0.02605
1965   40     1925    0.02399
1965   40     1924    0.02028
1965   41     1924    0.01823
1965   41     1923    0.01413
1965   42     1923    0.01240
1965   42     1922    0.00943
1965   43     1922    0.00806
1965   43     1921    0.00567
1965   44     1921    0.00471
1965   44     1920    0.00314
1965   45     1920    0.00256
1965   45     1919    0.00169
1965   46     1919    0.00126
1965   46     1918    0.00061
1965   47     1918    0.00046
1965   47     1917    0.00026
1965   48     1917    0.00019
1965   48     1916    0.00010
1965   49     1916    0.00005
1965   49     1915    0.00001
1965   50     1915    0.00001
1965   50     1914    0.00001
1965   51     1914    0.00001
1965   51     1913    0.00000
1965   52     1913    0.00000
1965   52     1912    0.00000
1965   53     1912    0.00000
1965   53     1911    0.00000
1965   54     1911    0.00000
1965   54     1910    0.00000
1965   55+       .    0.00000
1966   12-       .    0.00000
1966   13     1953    0.00004
1966   13     1952    0.00010
1966   14     1952    0.00015
1966   14     1951    0.00063
1966   15     1951    0.00118
1966   15     1950    0.00403
1966   16     1950    0.00694
1966   16     1949    0.01797
1966   17     1949    0.02642
1966   17     1948    0.04649
1966   18     1948    0.05848
1966   18     1947    0.08448
1966   19     1947    0.09728
1966   19     1946    0.12012
1966   20     1946    0.12890
1966   20     1945    0.13866
1966   21     1945    0.14338
1966   21     1944    0.15350
1966   22     1944    0.15698
1966   22     1943    0.16155
1966   23     1943    0.16352
1966   23     1942    0.16716
1966   24     1942    0.16851
1966   24     1941    0.17085
1966   25     1941    0.17104
1966   25     1940    0.16972
1966   26     1940    0.16837
1966   26     1939    0.16438
1966   27     1939    0.16165
1966   27     1938    0.15488
1966   28     1938    0.15099
1966   28     1937    0.14225
1966   29     1937    0.13777
1966   29     1936    0.12850
1966   30     1936    0.12394
1966   30     1935    0.11483
1966   31     1935    0.11045
1966   31     1934    0.10179
1966   32     1934    0.09793
1966   32     1933    0.09111
1966   33     1933    0.08718
1966   33     1932    0.07865
1966   34     1932    0.07470
1966   34     1931    0.06699
1966   35     1931    0.06369
1966   35     1930    0.05795
1966   36     1930    0.05483
1966   36     1929    0.04832
1966   37     1929    0.04541
1966   37     1928    0.04004
1966   38     1928    0.03739
1966   38     1927    0.03228
1966   39     1927    0.02979
1966   39     1926    0.02496
1966   40     1926    0.02277
1966   40     1925    0.01868
1966   41     1925    0.01693
1966   41     1924    0.01387
1966   42     1924    0.01226
1966   42     1923    0.00917
1966   43     1923    0.00787
1966   43     1922    0.00567
1966   44     1922    0.00474
1966   44     1921    0.00322
1966   45     1921    0.00253
1966   45     1920    0.00144
1966   46     1920    0.00111
1966   46     1919    0.00066
1966   47     1919    0.00049
1966   47     1918    0.00025
1966   48     1918    0.00018
1966   48     1917    0.00009
1966   49     1917    0.00005
1966   49     1916    0.00001
1966   50     1916    0.00001
1966   50     1915    0.00001
1966   51     1915    0.00000
1966   51     1914    0.00000
1966   52     1914    0.00000
1966   52     1913    0.00000
1966   53     1913    0.00000
1966   53     1912    0.00000
1966   54     1912    0.00000
1966   54     1911    0.00000
1966   55+       .    0.00000
1967   12-       .    0.00001
1967   13     1954    0.00005
1967   13     1953    0.00012
1967   14     1953    0.00017
1967   14     1952    0.00061
1967   15     1952    0.00111
1967   15     1951    0.00388
1967   16     1951    0.00672
1967   16     1950    0.01745
1967   17     1950    0.02586
1967   17     1949    0.04698
1967   18     1949    0.05961
1967   18     1948    0.08550
1967   19     1948    0.09818
1967   19     1947    0.12039
1967   20     1947    0.13007
1967   20     1946    0.14630
1967   21     1946    0.15203
1967   21     1945    0.15871
1967   22     1945    0.16083
1967   22     1944    0.16274
1967   23     1944    0.16332
1967   23     1943    0.16423
1967   24     1943    0.16433
1967   24     1942    0.16431
1967   25     1942    0.16393
1967   25     1941    0.16286
1967   26     1941    0.16148
1967   26     1940    0.15724
1967   27     1940    0.15478
1967   27     1939    0.14923
1967   28     1939    0.14581
1967   28     1938    0.13784
1967   29     1938    0.13366
1967   29     1937    0.12492
1967   30     1937    0.12038
1967   30     1936    0.11099
1967   31     1936    0.10648
1967   31     1935    0.09749
1967   32     1935    0.09360
1967   32     1934    0.08667
1967   33     1934    0.08330
1967   33     1933    0.07690
1967   34     1933    0.07343
1967   34     1932    0.06604
1967   35     1932    0.06278
1967   35     1931    0.05697
1967   36     1931    0.05365
1967   36     1930    0.04645
1967   37     1930    0.04356
1967   37     1929    0.03868
1967   38     1929    0.03612
1967   38     1928    0.03096
1967   39     1928    0.02865
1967   39     1927    0.02445
1967   40     1927    0.02230
1967   40     1926    0.01817
1967   41     1926    0.01615
1967   41     1925    0.01228
1967   42     1925    0.01088
1967   42     1924    0.00870
1967   43     1924    0.00755
1967   43     1923    0.00538
1967   44     1923    0.00454
1967   44     1922    0.00322
1967   45     1922    0.00254
1967   45     1921    0.00141
1967   46     1921    0.00108
1967   46     1920    0.00063
1967   47     1920    0.00047
1967   47     1919    0.00024
1967   48     1919    0.00017
1967   48     1918    0.00009
1967   49     1918    0.00005
1967   49     1917    0.00001
1967   50     1917    0.00001
1967   50     1916    0.00000
1967   51     1916    0.00000
1967   51     1915    0.00000
1967   52     1915    0.00000
1967   52     1914    0.00000
1967   53     1914    0.00000
1967   53     1913    0.00000
1967   54     1913    0.00000
1967   54     1912    0.00000
1967   55+       .    0.00000
1968   12-       .    0.00001
1968   13     1955    0.00005
1968   13     1954    0.00015
1968   14     1954    0.00024
1968   14     1953    0.00070
1968   15     1953    0.00118
1968   15     1952    0.00400
1968   16     1952    0.00687
1968   16     1951    0.01826
1968   17     1951    0.02715
1968   17     1950    0.04768
1968   18     1950    0.05987
1968   18     1949    0.08552
1968   19     1949    0.09784
1968   19     1948    0.11873
1968   20     1948    0.12775
1968   20     1947    0.14272
1968   21     1947    0.14847
1968   21     1946    0.15755
1968   22     1946    0.15923
1968   22     1945    0.15669
1968   23     1945    0.15590
1968   23     1944    0.15522
1968   24     1944    0.15468
1968   24     1943    0.15389
