East Germany, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 04/02/2019
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1949    35     1.747     0.922     0.619     0.150     0.038     0.017
1949    36     1.763     0.924     0.624     0.156     0.040     0.018
1949    37     1.775     0.925     0.627     0.160     0.042     0.020
1949    38     1.785     0.926     0.630     0.164     0.044     0.022
1949    39     1.792     0.927     0.631     0.166     0.045     0.023
1949    40     1.797     0.927     0.632     0.168     0.046     0.024
1949    41     1.800     0.927     0.632     0.168     0.047     0.025
1949    42         .         .         .         .         .         .
1949    43         .         .         .         .         .         .
1949    44         .         .         .         .         .         .
1949    45         .         .         .         .         .         .
1949    46         .         .         .         .         .         .
1949    47         .         .         .         .         .         .
1949    48         .         .         .         .         .         .
1949    49         .         .         .         .         .         .
1949    50         .         .         .         .         .         .
1949    51         .         .         .         .         .         .
1949    52         .         .         .         .         .         .
1949    53         .         .         .         .         .         .
1949    54         .         .         .         .         .         .
1949    55         .         .         .         .         .         .
1950    12     0.000     0.000     0.000     0.000     0.000     0.000
1950    13     0.000     0.000     0.000     0.000     0.000     0.000
1950    14     0.000     0.000     0.000     0.000     0.000     0.000
1950    15     0.000     0.000     0.000     0.000     0.000     0.000
1950    16     0.003     0.003     0.000     0.000     0.000     0.000
1950    17     0.013     0.013     0.000     0.000     0.000     0.000
1950    18     0.052     0.050     0.002     0.000     0.000     0.000
1950    19     0.144     0.132     0.011     0.001     0.000     0.000
1950    20     0.299     0.261     0.036     0.003     0.000     0.000
1950    21     0.490     0.404     0.078     0.008     0.001     0.000
1950    22     0.674     0.528     0.128     0.016     0.002     0.000
1950    23     0.831     0.626     0.177     0.024     0.003     0.000
1950    24     0.966     0.703     0.226     0.032     0.004     0.001
1950    25     1.091     0.766     0.278     0.040     0.006     0.001
1950    26     1.204     0.813     0.332     0.048     0.008     0.002
1950    27     1.313     0.847     0.392     0.059     0.011     0.003
1950    28     1.413     0.871     0.452     0.071     0.014     0.004
1950    29     1.494     0.887     0.501     0.084     0.017     0.005
1950    30     1.561     0.898     0.539     0.096     0.021     0.007
1950    31     1.614     0.906     0.567     0.108     0.024     0.009
1950    32     1.654     0.912     0.586     0.118     0.027     0.011
1950    33     1.688     0.917     0.601     0.127     0.030     0.012
1950    34     1.713     0.920     0.612     0.135     0.033     0.014
1950    35     1.733     0.922     0.618     0.142     0.035     0.016
1950    36     1.749     0.924     0.623     0.147     0.037     0.018
1950    37     1.762     0.925     0.627     0.152     0.039     0.020
1950    38     1.772     0.926     0.629     0.155     0.041     0.021
1950    39     1.779     0.926     0.630     0.158     0.042     0.023
1950    40     1.784     0.927     0.631     0.159     0.043     0.024
1950    41         .         .         .         .         .         .
1950    42         .         .         .         .         .         .
1950    43         .         .         .         .         .         .
1950    44         .         .         .         .         .         .
1950    45         .         .         .         .         .         .
1950    46         .         .         .         .         .         .
1950    47         .         .         .         .         .         .
1950    48         .         .         .         .         .         .
1950    49         .         .         .         .         .         .
1950    50         .         .         .         .         .         .
1950    51         .         .         .         .         .         .
1950    52         .         .         .         .         .         .
1950    53         .         .         .         .         .         .
1950    54         .         .         .         .         .         .
1950    55         .         .         .         .         .         .
1951    12     0.000     0.000     0.000     0.000     0.000     0.000
1951    13     0.000     0.000     0.000     0.000     0.000     0.000
1951    14     0.000     0.000     0.000     0.000     0.000     0.000
1951    15     0.000     0.000     0.000     0.000     0.000     0.000
1951    16     0.002     0.002     0.000     0.000     0.000     0.000
1951    17     0.012     0.012     0.000     0.000     0.000     0.000
1951    18     0.050     0.048     0.002     0.000     0.000     0.000
1951    19     0.143     0.132     0.011     0.000     0.000     0.000
1951    20     0.300     0.264     0.034     0.002     0.000     0.000
1951    21     0.478     0.401     0.070     0.006     0.000     0.000
1951    22     0.646     0.522     0.112     0.011     0.001     0.000
1951    23     0.793     0.618     0.156     0.017     0.002     0.000
1951    24     0.930     0.698     0.205     0.023     0.003     0.000
1951    25     1.062     0.764     0.262     0.031     0.005     0.001
1951    26     1.193     0.814     0.329     0.041     0.007     0.002
1951    27     1.317     0.850     0.401     0.053     0.010     0.003
1951    28     1.418     0.874     0.461     0.066     0.013     0.004
1951    29     1.501     0.890     0.510     0.079     0.016     0.005
1951    30     1.567     0.902     0.548     0.092     0.020     0.007
1951    31     1.619     0.910     0.575     0.103     0.023     0.008
1951    32     1.660     0.916     0.594     0.114     0.026     0.010
1951    33     1.693     0.920     0.609     0.123     0.029     0.012
1951    34     1.718     0.923     0.618     0.131     0.032     0.014
1951    35     1.739     0.925     0.625     0.138     0.035     0.016
1951    36     1.756     0.927     0.630     0.145     0.037     0.018
1951    37     1.768     0.928     0.633     0.149     0.039     0.019
1951    38     1.778     0.929     0.635     0.153     0.041     0.021
1951    39     1.785     0.929     0.636     0.155     0.043     0.022
1951    40         .         .         .         .         .         .
1951    41         .         .         .         .         .         .
1951    42         .         .         .         .         .         .
1951    43         .         .         .         .         .         .
1951    44         .         .         .         .         .         .
1951    45         .         .         .         .         .         .
1951    46         .         .         .         .         .         .
1951    47         .         .         .         .         .         .
1951    48         .         .         .         .         .         .
1951    49         .         .         .         .         .         .
1951    50         .         .         .         .         .         .
1951    51         .         .         .         .         .         .
1951    52         .         .         .         .         .         .
1951    53         .         .         .         .         .         .
1951    54         .         .         .         .         .         .
1951    55         .         .         .         .         .         .
1952    12     0.000     0.000     0.000     0.000     0.000     0.000
1952    13     0.000     0.000     0.000     0.000     0.000     0.000
1952    14     0.000     0.000     0.000     0.000     0.000     0.000
1952    15     0.000     0.000     0.000     0.000     0.000     0.000
1952    16     0.002     0.002     0.000     0.000     0.000     0.000
1952    17     0.012     0.012     0.000     0.000     0.000     0.000
1952    18     0.050     0.048     0.002     0.000     0.000     0.000
1952    19     0.144     0.134     0.010     0.000     0.000     0.000
1952    20     0.293     0.263     0.029     0.002     0.000     0.000
1952    21     0.460     0.397     0.058     0.004     0.000     0.000
1952    22     0.615     0.511     0.095     0.008     0.001     0.000
1952    23     0.760     0.606     0.140     0.013     0.001     0.000
1952    24     0.908     0.691     0.194     0.020     0.002     0.000
1952    25     1.059     0.763     0.262     0.029     0.004     0.001
1952    26     1.204     0.816     0.340     0.040     0.006     0.001
1952    27     1.327     0.851     0.413     0.052     0.009     0.002
1952    28     1.430     0.874     0.475     0.066     0.012     0.003
1952    29     1.510     0.890     0.521     0.079     0.016     0.005
1952    30     1.574     0.900     0.556     0.092     0.019     0.006
1952    31     1.625     0.908     0.582     0.104     0.023     0.008
1952    32     1.665     0.914     0.601     0.115     0.026     0.010
1952    33     1.697     0.917     0.614     0.125     0.029     0.012
1952    34     1.724     0.921     0.624     0.134     0.032     0.014
1952    35     1.746     0.923     0.631     0.142     0.035     0.016
1952    36     1.764     0.924     0.636     0.149     0.038     0.018
1952    37     1.777     0.925     0.639     0.153     0.040     0.020
1952    38     1.787     0.926     0.641     0.157     0.041     0.022
1952    39         .         .         .         .         .         .
1952    40         .         .         .         .         .         .
1952    41         .         .         .         .         .         .
1952    42         .         .         .         .         .         .
1952    43         .         .         .         .         .         .
1952    44         .         .         .         .         .         .
1952    45         .         .         .         .         .         .
1952    46         .         .         .         .         .         .
1952    47         .         .         .         .         .         .
1952    48         .         .         .         .         .         .
1952    49         .         .         .         .         .         .
1952    50         .         .         .         .         .         .
1952    51         .         .         .         .         .         .
1952    52         .         .         .         .         .         .
1952    53         .         .         .         .         .         .
1952    54         .         .         .         .         .         .
1952    55         .         .         .         .         .         .
1953    12     0.000     0.000     0.000     0.000     0.000     0.000
