West Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1976     16     1960       472892.59
1976     17     1959       459285.05
1976     18     1958       440343.71
1976     19     1957       434118.55
1976     20     1956       424530.58
1976     21     1955       413533.82
1976     22     1954       423687.83
1976     23     1953       413719.29
1976     24     1952       421460.08
1976     25     1951       414927.58
1976     26     1950       427445.18
1976     27     1949       423868.92
1976     28     1948       404882.65
1976     29     1947       382869.45
1976     30     1946       354176.60
1976     31     1945       305591.00
1976     32     1944       398718.00
1976     33     1943       404233.67
1976     34     1942       394865.00
1976     35     1941       477461.00
1976     36     1940       516317.67
1976     37     1939       509840.83
1976     38     1938       481997.00
1976     39     1937       454650.17
1976     40     1936       451090.33
1976     41     1935       441600.50
1976     42     1934       416185.83
1976     43     1933       342973.17
1976     44     1932       349420.83
1976     45     1931       361172.50
1976     46     1930       388655.33
1976     47     1929       382997.67
1976     48     1928       390731.50
1976     49     1927       382258.00
1976     50     1926       399424.33
1976     51     1925       417644.83
1976     52     1924       410321.67
1976     53     1923       410343.67
1976     54     1922       430775.33
1976     55     1921       454248.33
1977     12     1965       258600.24
1977     13     1964       514694.78
1977     14     1963       508951.99
1977     15     1962       490619.23
1977     16     1961       488382.63
1977     17     1960       474259.86
1977     18     1959       461005.03
1977     19     1958       442310.43
1977     20     1957       436331.96
1977     21     1956       426459.87
1977     22     1955       414829.10
1977     23     1954       424336.56
1977     24     1953       413861.25
1977     25     1952       420909.16
1977     26     1951       413814.01
1977     27     1950       426278.74
1977     28     1949       422476.01
1977     29     1948       403269.82
1977     30     1947       381115.07
1977     31     1946       352332.12
1977     32     1945       304078.50
1977     33     1944       397272.50
1977     34     1943       403098.33
1977     35     1942       393662.17
1977     36     1941       476399.00
1977     37     1940       515119.17
1977     38     1939       508860.83
1977     39     1938       480953.83
1977     40     1937       453699.50
1977     41     1936       450076.50
1977     42     1935       440679.00
1977     43     1934       415095.33
1977     44     1933       342020.67
1977     45     1932       348411.67
1977     46     1931       360193.00
1977     47     1930       387400.33
1977     48     1929       381842.83
1977     49     1928       389387.50
1977     50     1927       380882.83
1977     51     1926       397832.33
1977     52     1925       415857.50
1977     53     1924       408488.83
1977     54     1923       408393.67
1977     55     1922       428593.00
1978     12     1966       258433.73
1978     13     1965       505414.11
1978     14     1964       516020.81
1978     15     1963       510428.53
1978     16     1962       492113.86
1978     17     1961       489846.19
1978     18     1960       476824.60
1978     19     1959       463719.81
1978     20     1958       445105.97
1978     21     1957       438775.17
1978     22     1956       428426.79
1978     23     1955       416563.57
1978     24     1954       425443.85
1978     25     1953       414466.50
1978     26     1952       420851.88
1978     27     1951       413333.86
1978     28     1950       425689.64
1978     29     1949       421872.83
1978     30     1948       402432.63
1978     31     1947       380238.95
1978     32     1946       351344.55
1978     33     1945       303368.67
1978     34     1944       396523.33
1978     35     1943       402691.33
1978     36     1942       393195.50
1978     37     1941       476029.33
1978     38     1940       514658.83
1978     39     1939       508424.67
1978     40     1938       480534.17
1978     41     1937       453246.83
